PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-1bar (mol/kg)
7.26122,8.0558,1381.08,0.58616,2.07E-05,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,1.637928855
6.48996,7.45342,702.761,0.4803,2.31E-06,44.73684211,50,2.631578947,2.631578947,0,0,0,0.246497766
15.35482,15.85081,1728.24,0.66142,2.97E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.302062624
35.71819,35.86719,2366.26,0.80666,2.87E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.289666353
25.41555,25.64462,2270.49,0.7851,4.43E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.453534014
32.79335,33.01596,2559.5,0.83286,4.00E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.403500186
9.54557,9.60069,821.238,0.45824,2.49E-06,48.10810811,49.72972973,2.162162162,0,0,0,0,0.266697042
13.11194,13.17228,1032.13,0.51894,3.51E-06,50.24875622,47.76119403,1.990049751,0,0,0,0,0.369016007
10.59437,12.48955,8339.6,0.88504,9.26E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.942336792
9.58065,10.43778,8105.77,0.83242,1.16E-05,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,1.178444317
