PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
20.81745,20.94699,1447.82,0.68052,1.28E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,1.171851426
19.26829,19.382,1464.14,0.67458,1.16E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,1.08020389
4.91947,5.5683,609.527,0.4658,1.95E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,1.186931494
39.68397,39.9305,2621.58,0.79732,1.93E-06,56.66666667,40,3.333333333,0,0,0,0,1.758471826
17.39813,17.54485,1499.4,0.68054,1.77E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,1.506666725
42.80809,42.93816,1829.24,0.81612,2.03E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,1.85208422
43.28884,43.42187,1934.87,0.82484,2.05E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,1.854114125
10.03477,10.55423,1317.7,0.5808,1.22E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,1.024450933
10.03477,10.55423,1467.28,0.58566,1.30E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,1.080153025
10.03477,10.55423,1572.98,0.59568,1.23E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,1.045094297
7.62148,7.93604,1293.92,0.56012,1.19E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.960496783
27.14804,27.41489,2545.35,0.80114,1.88E-06,50,40,5,5,0,0,0,1.79785417
31.82555,31.90137,2323.9,0.76406,3.78E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,2.980257248
32.86681,33.03455,2711.04,0.78798,2.88E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,2.450696933
16.93791,17.2286,1127.87,0.64998,9.38E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.848258705
19.33361,19.49918,2091.09,0.72138,1.89E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,1.684870899
24.69608,24.82012,2023.28,0.77204,1.88E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,1.704646146
11.7271,12.13815,1151.15,0.58086,6.75E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.630767225
11.85435,12.28175,1214.17,0.58532,8.78E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.793097863
18.35805,18.71848,1683.52,0.6895,1.83E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,1.609071329
9.11511,9.87643,1713.67,0.62662,1.64E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,1.374643019
11.06222,11.37486,1677.68,0.61804,1.77E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,1.532445876
10.72675,11.02482,1505.03,0.58464,1.50E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,1.246496698
14.44901,15.66522,4062.67,0.80292,6.72E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,3.745865897
